XYLT1	Temporal	3
TENM2	Frontal	3
FGF13	Frontal	3
SPRY1	Frontal	3
MDK	Frontal	3
EMX2	Temporal	3
ROBO2	Temporal	3
NR2F1	Temporal	3
FLJ42709	Temporal	1
CDS1	Temporal	1
OPRL1	Temporal	1
SLC27A2	Temporal	1
C10orf57	Temporal	1
PCDH9	Temporal	1
CDH9	Temporal	2
FGD6	Temporal	1
PACRG	Temporal	1
ASCL2	Temporal	1
LOC100130506	Temporal	1
NCRNA00087	Temporal	1
RASD1	Temporal	1
STON2	Temporal	1
SPINT2	Temporal	1
FGFR3	Temporal	2
NCRNA00086	Temporal	1
XK	Temporal	1
KCNK12	Temporal	1
ACCN1	Temporal	1
GSTT2	Temporal	1
TLE1	Temporal	1
EFS	Temporal	1
C15orf61	Temporal	1
PTPRG	Temporal	1
GSTO2	Temporal	1
SLC29A1	Temporal	1
SNX10	Temporal	1
C9orf150	Temporal	1
NTRK2	Temporal	2
GABRG1	Temporal	1
SORD	Temporal	1
LOC442249	Temporal	1
TSTD1	Temporal	1
MATK	Temporal	1
FAM71E1	Temporal	1
LMO2	Temporal	1
NEFL	Temporal	1
SNTA1	Temporal	1
EPCAM	Temporal	1
LIMK2	Temporal	1
PDE11A	Temporal	1
KLHL35	Temporal	1
NELL1	Temporal	1
PRKCA	Temporal	1
PAQR6	Temporal	1
IFI44L	Temporal	1
ZNF185	Temporal	2
THBS1	Temporal	2
LHFP	Temporal	2
WNT7B	Temporal	2
NR2F2	Temporal	2
NPY	Temporal	3
TIAM1	Temporal	1
NTNG2	Temporal	1
PLEKHH2	Temporal	1
LHX2	Temporal	2
TLK1	Temporal	1
PTPRD	Temporal	1
TMEM54	Temporal	1
CRHR1	Temporal	1
NKG7	Temporal	1
CSAD	Temporal	1
FLJ13197	Temporal	1
NEK6	Temporal	1
FUT8	Temporal	1
NCAM2	Temporal	1
PIK3AP1	Temporal	1
KIRREL3	Temporal	1
C13orf18	Temporal	1
SNX22	Temporal	1
GALT	Temporal	1
ST6GAL2	Temporal	1
MFSD4	Temporal	1
SPINT1	Temporal	1
PCSK5	Temporal	1
LAMA5	Temporal	1
CNN2	Temporal	1
MET	Temporal	1
AMOTL2	Temporal	1
MYO1D	Temporal	1
