ACTG1P11
ACTG1P2
ACTR3BP1
AGKP1
AGPAT5P1
AKAP17A
AMD1P2
AMELY
ANKRD20A6P
ANKRD36P1
ANOS2P
ARSDP1
ARSFP1
ARSLP1
ASMT
ASMTL
ASMTL-AS1
ASS1P6
ATP5PFP1
BCORP1
BPY2
BPY2B
BPY2C
BPY2DP
CASKP1
CCNQP2
CD24P4
CD99
CD99P1
CDC27P2
CDRT15P10
CDY1
CDY10P
CDY11P
CDY12P
CDY13P
CDY14P
CDY15P
CDY17P
CDY18P
CDY19P
CDY1B
CDY20P
CDY22P
CDY23P
CDY2A
CDY2B
CDY3P
CDY4P
CDY5P
CDY6P
CDY7P
CDY8P
CDY9P
CHEK2P1
CICP1
CICP2
CLUHP1
CLUHP2
CRLF2
CSF2RA
CSPG4P1Y
CSPG4P2Y
CSPG4P3Y
CSPG4P4Y
CTBP2P1
CYCSP46
CYCSP48
CYCSP49
DAZ1
DAZ2
DAZ3
DAZ4
DDX11L16
DDX3Y
DHRSX
DHRSX-IT1
DLGAP5P1
DNM1P24
DNM1P48
DPH3P2
DPPA2P1
DUX4L16
DUX4L17
DUX4L18
DUX4L19
DUX4L31
EEF1A1P41
EIF1AY
EIF4A1P2
ELOCP10
ELOCP11
ELOCP12
ELOCP13
ELOCP14
ELOCP15
ELOCP16
ELOCP17
ELOCP24
ELOCP26
ELOCP34
ELOCP35
ELOCP36
ELOCP4
ELOCP5
ELOCP6
ELOCP7
ELOCP8
ELOCP9
ENSG00000173357
ENSG00000216844
ENSG00000218410
ENSG00000223422
ENSG00000223517
ENSG00000224518
ENSG00000224567
ENSG00000224917
ENSG00000225840
ENSG00000225876
ENSG00000226918
ENSG00000227444
ENSG00000228207
ENSG00000228257
ENSG00000228379
ENSG00000228572
ENSG00000229308
ENSG00000229725
ENSG00000230025
ENSG00000230073
ENSG00000230977
ENSG00000232617
ENSG00000233619
ENSG00000234622
ENSG00000235059
ENSG00000235094
ENSG00000235583
ENSG00000235895
ENSG00000235981
ENSG00000236615
ENSG00000236647
ENSG00000236690
ENSG00000236951
ENSG00000237531
ENSG00000237968
ENSG00000240566
ENSG00000242393
ENSG00000244000
ENSG00000251510
ENSG00000251618
ENSG00000252689
ENSG00000254488
ENSG00000260197
ENSG00000267793
ENSG00000270570
ENSG00000270726
ENSG00000271309
ENSG00000271365
ENSG00000271375
ENSG00000273589
ENSG00000273731
ENSG00000273858
ENSG00000273863
ENSG00000273906
ENSG00000273966
ENSG00000274231
ENSG00000274282
ENSG00000274365
ENSG00000274445
ENSG00000274837
ENSG00000274899
ENSG00000275280
ENSG00000275310
ENSG00000275352
ENSG00000275578
ENSG00000275866
ENSG00000276829
ENSG00000277146
ENSG00000277930
ENSG00000278197
ENSG00000278212
ENSG00000278391
ENSG00000278478
ENSG00000278602
ENSG00000278847
ENSG00000278854
ENSG00000279115
ENSG00000279274
ENSG00000280767
ENSG00000281849
ENSG00000282909
ENSG00000283076
ENSG00000284071
ENSG00000284380
ENSG00000286009
ENSG00000286050
ENSG00000286120
ENSG00000286130
ENSG00000286173
ENSG00000286187
ENSG00000286201
ENSG00000286247
ENSG00000286744
ENSG00000288049
ENSG00000288057
ENSG00000289007
ENSG00000289620
ENSG00000289705
ENSG00000289706
ENSG00000289707
ENSG00000289826
FABP5P13
FAM197Y1
FAM197Y2
FAM197Y3
FAM197Y4
FAM197Y5
FAM197Y6
FAM197Y7
FAM197Y8
FAM197Y9
FAM224A
FAM224B
FAM41AY1
FAM41AY2
FAM8A4P
GAPDHP17
GAPDHP19
GOLGA2P2Y
GOLGA2P3Y
GOLGA6L11P
GOLGA6L16P
GOT2P5
GPM6BP1
GPM6BP2
GPR143P
GTPBP6
GYG2P1
HSFY1
HSFY2
HSFY3P
HSFY4P
HSFY5P
HSFY6P
HSFY7P
HSFY8P
IL3RA
IL9R
KDM5D
KDM5DP1
KRT18P10
KRT18P53
LINC00102
LINC00106
LINC00265-2P
LINC00265-3P
LINC00278
LINC00279
LINC00280
LINC00685
LINC02968
MED13P1
MED14P1
MIR3690
MIR6089
MTCYBP1
MTCYBP2
MTND1P1
MTND1P12
MTND2P3
MTND6P1
MXRA5Y
Metazoa_SRP
NAP1L1P2
NEFLP1
NLGN4Y
NLGN4Y-AS1
OFD1P10Y
OFD1P11Y
OFD1P12Y
OFD1P13Y
OFD1P15Y
OFD1P16Y
OFD1P18Y
OFD1P1Y
OFD1P2Y
OFD1P3Y
OFD1P4Y
OFD1P5Y
OFD1P6Y
OFD1P7Y
OFD1P8Y
OFD1P9Y
P2RY8
PABPC1P5
PARP4P1
PCDH11Y
PCMTD1P1
PLCXD1
PNPLA4P1
PPP1R12BP1
PPP1R12BP2
PPP2R3B
PRKY
PRORY
PRRC2CP1
PRY
PRY2
PRYP1
PRYP2
PRYP3
PRYP4
PRYP5
PRYP6
PSMA6P1
PUDPP1
RAB9AP1
RAB9AP2
RAB9AP3
RAB9AP4
RAB9AP5
RBMY1A1
RBMY1A3P
RBMY1B
RBMY1D
RBMY1E
RBMY1F
RBMY1HP
RBMY1J
RBMY1KP
RBMY2AP
RBMY2BP
RBMY2CP
RBMY2DP
RBMY2EP
RBMY2FP
RBMY2GP
RBMY2HP
RBMY2JP
RBMY2KP
RBMY2NP
RBMY2OP
RBMY2QP
RBMY2TP
RBMY2UP
RBMY2WP
RBMY2XP
RBMY2YP
RBMY3AP
RCC2P1
RCC2P2
REREP1Y
REREP2Y
RFTN1P1
RN7SKP282
RN7SL702P
RN7SL725P
RN7SL818P
RNA5-8SP6
RNA5SP498
RNA5SP518
RNA5SP519
RNA5SP520
RNA5SP521
RNA5SP522
RNA5SP523
RNASEH2CP1
RNF19BPY
RNU1-107P
RNU1-128P
RNU1-40P
RNU1-41P
RNU1-48P
RNU1-86P
RNU1-95P
RNU1-97P
RNU2-57P
RNU6-109P
RNU6-1314P
RNU6-1334P
RNU6-184P
RNU6-255P
RNU6-303P
RNU6-521P
RNU6-941P
RPL14P5
RPL26P37
RPS24P1
RPS4Y1
RPS4Y2
SEPTIN14P22
SEPTIN14P23
SERBP1P2
SFPQP1
SHOX
SHROOM2P1
SLC25A15P1
SLC25A6
SLC9B1P1
SNORA70
SNX18P1Y
SNX3P1Y
SRIP3
SRY
STSP1
SURF6P1
TAB3P1
TAF9P1
TAF9P2
TBL1Y
TBL1YP1
TGIF2LY
TMEM167AP1
TMSB4Y
TOMM22P1
TOMM22P2
TPTE2P4
TRAPPC2P10
TRAPPC2P3
TRAPPC2P4
TRAPPC2P5
TRAPPC2P7
TRAPPC2P8
TRAPPC2P9
TRIM60P10Y
TRIM60P11Y
TRIM60P3Y
TRIM60P5Y
TRIM60P8Y
TRIM60P9Y
TRPC6P1
TSPY1
TSPY10
TSPY11P
TSPY12P
TSPY13P
TSPY14P
TSPY15P
TSPY16P
TSPY17P
TSPY18P
TSPY19P
TSPY2
TSPY20P
TSPY21P
TSPY22P
TSPY23P
TSPY24P
TSPY25P
TSPY3
TSPY4
TSPY5P
TSPY6P
TSPY7P
TSPY8
TSPY9
TTTY1
TTTY10
TTTY11
TTTY12
TTTY13
TTTY14
TTTY17A
TTTY17B
TTTY17C
TTTY18
TTTY19
TTTY1B
TTTY2
TTTY20
TTTY21
TTTY21B
TTTY22
TTTY23
TTTY23B
TTTY25P
TTTY2B
TTTY3
TTTY3B
TTTY4
TTTY4B
TTTY4C
TTTY5
TTTY6
TTTY6B
TTTY7
TTTY7B
TTTY8
TTTY8B
TTTY9B
TUBB1P1
TUBB1P2
TUSC2P1
TXLNGY
UBE2Q2P4Y
UBE2Q2P5Y
UBE2V1P3
USP12PY
USP9Y
USP9YP1
USP9YP10
USP9YP11
USP9YP12
USP9YP13
USP9YP14
USP9YP15
USP9YP16
USP9YP17
USP9YP18
USP9YP19
USP9YP2
USP9YP20
USP9YP21
USP9YP22
USP9YP23
USP9YP24
USP9YP25
USP9YP26
USP9YP27
USP9YP28
USP9YP29
USP9YP3
USP9YP30
USP9YP31
USP9YP32
USP9YP33
USP9YP34
USP9YP35
USP9YP36
USP9YP4
USP9YP5
USP9YP6
USP9YP7
USP9YP8
USP9YP9
UTY
VAMP7
VCY
VCY1B
VDAC1P6
WASH6P
WASIR1
XGY1
XGY2
XKRY
XKRY2
XKRYP1
XKRYP2
XKRYP3
